<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRPX.US,D,20210217,000000,80,82.4,62.6,65.3,187737.9,0
VRPX.US,D,20210218,000000,65.8,65.9,60,61,64606,0
VRPX.US,D,20210219,000000,62.8,66.5,60.9,64.5,25149.2,0
VRPX.US,D,20210222,000000,64.5,66.8,60.1,61.4,48331.2,0
VRPX.US,D,20210223,000000,57.5,57.5,55,57.5,12285.3,0
VRPX.US,D,20210224,000000,57,59.6,56,58.9,6741.5,0
VRPX.US,D,20210225,000000,58.6,59.8,56.2,56.2,3606.6,0
VRPX.US,D,20210226,000000,56,58,52.5,53.9,7457.1,0
VRPX.US,D,20210301,000000,55.9,58,54.2,57.8,3517.4,0
VRPX.US,D,20210302,000000,59.3,59.599,55.1,55.1,5731.9,0
VRPX.US,D,20210303,000000,56.3,56.9,55.1,56.35,2641.2,0
VRPX.US,D,20210304,000000,55.1,56,48.7,50,8304.8,0
VRPX.US,D,20210305,000000,50.2,51,47.2,49.3,10172.5,0
VRPX.US,D,20210308,000000,50.4,51.4,48.7,50,2552.2,0
VRPX.US,D,20210309,000000,51.3,51.302,49.3,50,5389.2,0
VRPX.US,D,20210310,000000,51.1,52.5,49.4,50,8568.4,0
VRPX.US,D,20210311,000000,50,51.004,49.6,50.4,5131.8,0
VRPX.US,D,20210312,000000,50.5,56,50.3,56,17017.4,0
VRPX.US,D,20210315,000000,56.7,63.401,56.7,61.1,30322.6,0
VRPX.US,D,20210316,000000,62.3,62.5,55.2,56.1,15449.9,0
VRPX.US,D,20210317,000000,55.5,57,54.5,54.997,10650.4,0
VRPX.US,D,20210318,000000,55,56.9,54.2,54.7,4631.6,0
VRPX.US,D,20210319,000000,55.1,56.4,52.3,53,6922.2,0
VRPX.US,D,20210322,000000,53.7,54.472,50.5,50.7,32773.7,0
VRPX.US,D,20210323,000000,50.7,54,50.4,51.3,6448.6,0
VRPX.US,D,20210324,000000,51,51.5,47.5,47.5,13318.2,0
VRPX.US,D,20210325,000000,45.4,45.5,42.8,43.9,11062.6,0
VRPX.US,D,20210326,000000,44,47.9,44,45.4,4973.6,0
VRPX.US,D,20210329,000000,44.2,57.8,44.2,47.5,185859.6,0
