<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WHLM.US,D,20140807,000000,6.88,6.88,6.88,6.88,125,0
WHLM.US,D,20140811,000000,6.5,6.503,6.5,6.5,2869,0
WHLM.US,D,20140812,000000,6.5,6.5,6.4999,6.5,2036,0
WHLM.US,D,20140813,000000,6.5,6.5,6.4041,6.4041,466,0
WHLM.US,D,20140815,000000,6.1299,6.49,6.1299,6.3,2048,0
WHLM.US,D,20140818,000000,6.04,6.4,6.01,6.4,2570,0
WHLM.US,D,20140820,000000,6.0301,6.16,6.03,6.0401,8928,0
WHLM.US,D,20140821,000000,6.04,6.0401,6.04,6.0401,400,0
WHLM.US,D,20140825,000000,6.03,6.0301,6.03,6.03,2520,0
WHLM.US,D,20140826,000000,6.02,6.02,6.02,6.02,3000,0
WHLM.US,D,20140827,000000,6.02,6.05,6.02,6.05,7100,0
WHLM.US,D,20140828,000000,6.1,6.25,5.98,6,2879,0
WHLM.US,D,20140829,000000,6.4399,6.4399,5.98,5.98,1050,0
WHLM.US,D,20140902,000000,6.1,6.2,6.04,6.04,2850,0
WHLM.US,D,20140903,000000,6.05,6.44,6.05,6.41,11142,0
WHLM.US,D,20140904,000000,6.136,6.136,6.136,6.136,190,0
WHLM.US,D,20140905,000000,6.15,6.5,6.1,6.2,4723,0
WHLM.US,D,20140908,000000,6.41,6.44,6.1595,6.44,3470,0
WHLM.US,D,20140909,000000,6.42,6.44,6.14,6.4,2748,0
WHLM.US,D,20140910,000000,6.44,6.44,6.15,6.15,1630,0
WHLM.US,D,20140911,000000,6.15,6.44,6.09,6.44,16139,0
WHLM.US,D,20140912,000000,6.43,6.44,6.4,6.44,3822,0
WHLM.US,D,20140915,000000,6.09,6.43,6.06,6.42,5345,0
WHLM.US,D,20140916,000000,6.42,6.42,6.05,6.05,2404,0
WHLM.US,D,20140917,000000,6.41,6.41,6.2101,6.2101,863,0
WHLM.US,D,20140918,000000,6.38,6.4,6.23,6.4,2429,0
WHLM.US,D,20140919,000000,6.4,6.4,6.05,6.05,7512,0
WHLM.US,D,20140922,000000,6.17,6.35,6,6,1259,0
WHLM.US,D,20140923,000000,6.05,6.05,6.05,6.05,155,0
WHLM.US,D,20140925,000000,6.63,6.79,6.0901,6.17,11919,0
WHLM.US,D,20140929,000000,6.0501,6.0501,6.0501,6.0501,100,0
WHLM.US,D,20140930,000000,6.1,6.1,6.1,6.1,600,0
WHLM.US,D,20141001,000000,6.4,6.4,6.4,6.4,170,0
WHLM.US,D,20141003,000000,6.12,6.38,6.12,6.14,1790,0
WHLM.US,D,20141008,000000,6.38,6.38,6.38,6.38,250,0
WHLM.US,D,20141009,000000,6.1,6.1,6.0001,6.0001,19975,0
WHLM.US,D,20141014,000000,5.99,6,5.9,5.9,2102,0
WHLM.US,D,20141020,000000,5.6601,6,5.6601,6,275,0
WHLM.US,D,20141021,000000,6,6,6,6,643,0
WHLM.US,D,20141022,000000,5.66,5.66,5.66,5.66,994,0
WHLM.US,D,20141023,000000,5.66,5.97,5.66,5.97,300,0
WHLM.US,D,20141030,000000,5.7,5.7,5.6,5.6,654,0
WHLM.US,D,20141106,000000,5.97,5.97,5.97,5.97,191,0
WHLM.US,D,20141111,000000,5.96,5.96,5.7199,5.72,2902,0
WHLM.US,D,20141112,000000,5.8,6,5.5584,5.5584,2672,0
WHLM.US,D,20141119,000000,5.6924,5.7,5.6924,5.6924,1430,0
WHLM.US,D,20141120,000000,5.66,5.665,5.65,5.6575,3640,0
WHLM.US,D,20141121,000000,5.8,5.8,5.7,5.7,2054,0
WHLM.US,D,20141124,000000,5.7001,5.7001,5.65,5.65,2000,0
WHLM.US,D,20141125,000000,5.799,5.799,5.64,5.64,836,0
