<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WHLR.US,D,20121119,000000,635916,635916,559584,610448,0.0363553389698675,0
WHLR.US,D,20121120,000000,634912,686804,620648,621696,0.324359220733675,0
WHLR.US,D,20121121,000000,630784,630784,620192,622700,0.02101649948006125,0
WHLR.US,D,20121123,000000,625712,625712,610448,610448,0.040796734284825,0
WHLR.US,D,20121126,000000,609464,610448,579940,604400,0.2081503412556875,0
WHLR.US,D,20121127,000000,609464,610448,594704,595228,0.09674915773719,0
WHLR.US,D,20121128,000000,610448,610448,592232,610448,0.037454240903465,0
WHLR.US,D,20121129,000000,608636,610448,590204,608372,0.0859890763040425,0
WHLR.US,D,20121130,000000,590204,610448,590204,610448,0.0643315506960475,0
WHLR.US,D,20121203,000000,611476,611476,590204,603352,0.06163008344262,0
WHLR.US,D,20121204,000000,630784,630784,590204,610448,0.2093866059309875,0
WHLR.US,D,20121205,000000,635916,635916,590204,596208,0.064514701018315,0
WHLR.US,D,20121206,000000,610448,611476,590204,590204,0.1768774237287125,0
WHLR.US,D,20121207,000000,607304,607304,607304,607304,0.0019230783837965,0
WHLR.US,D,20121210,000000,609464,610448,595228,601276,0.14010999653375,0
WHLR.US,D,20121211,000000,609464,612500,604400,604400,0.0466575445973475,0
WHLR.US,D,20121212,000000,603352,603352,591120,595228,0.0605311815090225,0
WHLR.US,D,20121213,000000,596208,596208,590204,592084,0.38534827804835,0
WHLR.US,D,20121214,000000,594176,594176,590204,593240,0.176511123084175,0
WHLR.US,D,20121217,000000,591120,603352,590204,590204,0.1040293830472775,0
WHLR.US,D,20121218,000000,593240,623708,590204,590204,0.1125916606132275,0
WHLR.US,D,20121219,000000,596208,631808,590204,605404,0.091849886616565,0
WHLR.US,D,20121220,000000,590204,606412,590204,600292,0.1516942544170875,0
WHLR.US,D,20121221,000000,600292,610448,590204,590204,0.1329213463847875,0
WHLR.US,D,20121224,000000,591120,591120,591120,591120,0.00393773192872625,0
WHLR.US,D,20121227,000000,595488,652996,595488,605796,0.114240013513625,0
WHLR.US,D,20121228,000000,702332,702332,595488,606844,0.096703370156625,0
WHLR.US,D,20121231,000000,595488,680140,595488,632488,0.15174004199765,0
WHLR.US,D,20130102,000000,638668,651964,601712,632488,0.223580755906625,0
WHLR.US,D,20130103,000000,623272,623272,607852,616040,0.01167583304447875,0
WHLR.US,D,20130104,000000,625300,626348,614012,614012,0.2400642849106,0
WHLR.US,D,20130107,000000,612980,619100,602716,619100,0.055402972485565,0
WHLR.US,D,20130108,000000,618072,624232,616040,616040,0.05196890394307,0
WHLR.US,D,20130109,000000,618072,641704,601712,616172,0.118544046086885,0
WHLR.US,D,20130110,000000,617088,617088,611392,614012,0.0932235140335625,0
WHLR.US,D,20130111,000000,620212,621216,620212,621216,0.0019230783837965,0
WHLR.US,D,20130114,000000,624252,624252,618092,618092,0.0198718099658975,0
WHLR.US,D,20130115,000000,640264,640264,617088,617088,0.0346154109083375,0
WHLR.US,D,20130116,000000,621216,635612,617088,635612,0.0311813423658425,0
WHLR.US,D,20130117,000000,637640,637640,618072,618072,0.037042152678365,0
WHLR.US,D,20130118,000000,636568,636568,621216,621216,0.0125000094946775,0
WHLR.US,D,20130122,000000,625300,625300,619120,619120,0.058379165222395,0
WHLR.US,D,20130123,000000,624252,636568,622244,623272,0.1012821282132825,0
WHLR.US,D,20130124,000000,619120,630412,619120,620212,0.01272894739751,0
WHLR.US,D,20130125,000000,624252,634516,619120,621216,0.072573315198035,0
WHLR.US,D,20130128,000000,633532,633532,621216,621216,0.07999090324982,0
WHLR.US,D,20130129,000000,625300,631460,618072,622244,0.1461539571685375,0
WHLR.US,D,20130130,000000,631024,633052,626852,627900,0.1136447749662575,0
WHLR.US,D,20130131,000000,634148,634148,622724,622724,0.026877309792585,0
WHLR.US,D,20130201,000000,626896,633052,619644,624820,0.143223552012275,0
WHLR.US,D,20130204,000000,633052,635084,623160,629972,0.07838833792999,0
WHLR.US,D,20130205,000000,629972,629972,626896,626896,0.056868175063695,0
WHLR.US,D,20130206,000000,623792,633052,620692,620692,0.1400184213726125,0
WHLR.US,D,20130207,000000,621740,621740,621740,621740,0.002976192736828,0
WHLR.US,D,20130208,000000,629972,629972,621740,621740,0.15366312038145,0
WHLR.US,D,20130211,000000,623792,629972,623792,623792,0.15531147328185,0
WHLR.US,D,20130212,000000,628880,629972,623792,625780,0.0827839456643825,0
WHLR.US,D,20130213,000000,622724,625780,622724,624820,0.0307692541407425,0
WHLR.US,D,20130214,000000,626896,628880,624820,624820,0.028342512370715,0
WHLR.US,D,20130215,000000,626896,629972,624820,629972,0.034386473005505,0
WHLR.US,D,20130219,000000,628880,629972,627900,629972,0.06552202779078,0
WHLR.US,D,20130220,000000,629972,629972,627900,627920,0.0842491482425125,0
WHLR.US,D,20130221,000000,625780,628880,621740,621740,0.13708801621635,0
WHLR.US,D,20130222,000000,629972,629972,619644,621740,0.2183151841414625,0
WHLR.US,D,20130225,000000,624820,624820,617572,617572,0.25572363746435,0
WHLR.US,D,20130226,000000,621740,624800,619644,619644,0.02229855173592625,0
WHLR.US,D,20130227,000000,624296,637708,624296,624296,0.2005953904622,0
WHLR.US,D,20130228,000000,632636,632636,623312,623312,0.33315043620245,0
WHLR.US,D,20130301,000000,624296,628424,623312,623312,0.0947802917728275,0
WHLR.US,D,20130304,000000,623312,627376,623312,624296,0.0548993090993325,0
WHLR.US,D,20130305,000000,626416,630584,624296,624296,0.03992677025406,0
WHLR.US,D,20130306,000000,624296,631568,624296,628468,0.076556834707325,0
WHLR.US,D,20130307,000000,624296,628468,624296,628468,0.0632784363430175,0
WHLR.US,D,20130308,000000,625388,625388,625364,625388,0.003846156767593,0
WHLR.US,D,20130311,000000,624296,629472,624296,625364,0.079807752927555,0
WHLR.US,D,20130312,000000,632636,632636,624296,630584,0.1241759184965725,0
WHLR.US,D,20130313,000000,629472,631568,624296,625364,0.1001374386991175,0
WHLR.US,D,20130314,000000,627376,630584,625364,625364,0.019230783837965,0
WHLR.US,D,20130315,000000,625364,631568,623312,623312,0.1058150986893725,0
WHLR.US,D,20130318,000000,623312,628468,623312,624296,0.06016488086449,0
WHLR.US,D,20130319,000000,633576,633576,623312,624296,0.114652101738725,0
WHLR.US,D,20130320,000000,623312,631568,623312,631568,0.247481872962375,0
WHLR.US,D,20130321,000000,630564,631568,624296,624620,0.06739931859401,0
WHLR.US,D,20130322,000000,631544,631544,623312,623312,0.150824290386325,0
WHLR.US,D,20130325,000000,629472,630584,623312,624296,0.162683273753075,0
WHLR.US,D,20130326,000000,633140,633140,626936,626936,0.1605770450470125,0
WHLR.US,D,20130327,000000,626936,634252,626936,633140,0.01245422191411075,0
WHLR.US,D,20130328,000000,626936,627944,626936,626936,0.1234433172075075,0
WHLR.US,D,20130401,000000,634252,634252,628748,628748,0.0066391991821545,0
WHLR.US,D,20130402,000000,633140,637420,626936,626936,0.122390202854475,0
WHLR.US,D,20130403,000000,626936,634252,626936,627944,0.02344324125009,0
WHLR.US,D,20130404,000000,628992,628992,628992,628992,0.0066391991821545,0
WHLR.US,D,20130405,000000,632180,636308,632180,632180,0.1033425693387775,0
WHLR.US,D,20130408,000000,627944,636308,627944,634252,0.03150185542981,0
WHLR.US,D,20130409,000000,636308,636308,627944,630060,0.03214288155774,0
WHLR.US,D,20130410,000000,630060,631132,627944,627944,0.038644717998195,0
WHLR.US,D,20130411,000000,632180,632180,627944,627944,0.0047619083789245,0
WHLR.US,D,20130412,000000,631588,636308,627944,634168,0.1692766853546625,0
WHLR.US,D,20130415,000000,630060,630060,618640,626936,0.239743771846625,0
WHLR.US,D,20130416,000000,628992,629012,628992,628992,0.009569604338416,0
WHLR.US,D,20130417,000000,629012,630060,626936,628968,0.130128303970225,0
WHLR.US,D,20130418,000000,626936,627944,626936,627944,0.037454240903465,0
WHLR.US,D,20130419,000000,632636,635260,630060,630892,0.02399269221689,0
WHLR.US,D,20130422,000000,635260,635260,626936,628992,0.0470696328224475,0
WHLR.US,D,20130423,000000,628992,635260,628992,634168,0.05897440376976,0
WHLR.US,D,20130424,000000,634252,635260,626936,627640,0.02202382625252625,0
WHLR.US,D,20130425,000000,635260,635260,626936,626936,0.0831960338894825,0
WHLR.US,D,20130426,000000,631632,631632,630652,630652,0.0570055378053975,0
WHLR.US,D,20130429,000000,638140,638140,630652,631632,0.03992677025406,0
WHLR.US,D,20130430,000000,631632,631632,631632,631632,0.0142399375562075,0
WHLR.US,D,20130503,000000,631632,631632,631632,631632,0.0950550172562275,0
WHLR.US,D,20130506,000000,637968,639016,632728,635260,0.1845697372639,0
WHLR.US,D,20130507,000000,630652,639016,630652,636940,0.0476190837892475,0
WHLR.US,D,20130508,000000,632728,636940,630652,636940,0.0677656192385425,0
WHLR.US,D,20130509,000000,632728,635892,630652,632728,0.131089843162125,0
WHLR.US,D,20130510,000000,631632,636940,630652,636940,0.08736270372104,0
WHLR.US,D,20130513,000000,637948,637968,637948,637968,0.00572344757082275,0
WHLR.US,D,20130514,000000,637968,637968,630652,632728,0.055265609743865,0
WHLR.US,D,20130515,000000,631632,637968,631632,636940,0.1024726053080125,0
WHLR.US,D,20130516,000000,632728,637968,632728,635892,0.06900188391384,0
WHLR.US,D,20130517,000000,637968,637968,632748,633752,0.11941401011765,0
WHLR.US,D,20130520,000000,636940,639016,633884,637968,0.087591641623875,0
WHLR.US,D,20130521,000000,643232,643232,640084,641116,0.058608103125225,0
WHLR.US,D,20130522,000000,643232,643232,636940,637968,0.030219803173945,0
WHLR.US,D,20130523,000000,635892,636940,635892,636788,0.004716120798358,0
WHLR.US,D,20130524,000000,635892,655832,631632,639956,0.2316393700863375,0
WHLR.US,D,20130528,000000,631632,647404,631632,637576,0.203983671424125,0
WHLR.US,D,20130529,000000,640612,642728,634300,635348,0.1061356117533375,0
WHLR.US,D,20130530,000000,641656,641656,635348,635348,0.02463371834482125,0
WHLR.US,D,20130531,000000,639628,642928,634208,634208,0.04368135186052,0
WHLR.US,D,20130603,000000,637464,637464,628968,628968,0.0908425598441025,0
WHLR.US,D,20130604,000000,636352,641656,617352,634300,0.2385990823324625,0
WHLR.US,D,20130605,000000,635348,638536,634300,635348,0.02275642754159125,0
WHLR.US,D,20130606,000000,643756,643756,641656,641656,0.0153846270703725,0
WHLR.US,D,20130607,000000,648016,664896,642728,664896,0.011858983366745,0
WHLR.US,D,20130610,000000,660704,660704,639560,649084,0.00572344757082275,0
WHLR.US,D,20130611,000000,650152,655440,637464,637464,0.0750916321291975,0
WHLR.US,D,20130612,000000,639560,640612,639560,640612,0.0378663291285625,0
WHLR.US,D,20130613,000000,644848,686104,640612,653256,0.0153846270703725,0
WHLR.US,D,20130614,000000,665988,670748,637464,637464,0.03136449268811,0
WHLR.US,D,20130619,000000,638536,638536,638536,638536,0.0010531143530314,0
WHLR.US,D,20130620,000000,639544,652776,634300,634624,0.08869054355747,0
WHLR.US,D,20130621,000000,634300,676556,634300,640612,0.11616309189742,0
WHLR.US,D,20130624,000000,635348,637464,634300,637464,0.0368590023560975,0
WHLR.US,D,20130625,000000,635348,636352,619472,619472,0.1801283419489375,0
WHLR.US,D,20130626,000000,644456,644456,607240,607240,0.0609890573146875,0
WHLR.US,D,20130627,000000,635960,635960,540276,596604,0.12179496430711,0
WHLR.US,D,20130628,000000,614644,616828,579568,580592,0.1145147389970225,0
WHLR.US,D,20130701,000000,589112,606148,579568,579568,0.08630958936801,0
WHLR.US,D,20130702,000000,601912,603020,573212,574284,0.0687729460110075,0
WHLR.US,D,20130703,000000,595488,596604,579568,579568,0.02829672479015,0
