<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WKHS.US,D,20160107,000000,135,190,135,135,2084.35,0
WKHS.US,D,20160108,000000,140,140,130,130,1149.05,0
WKHS.US,D,20160111,000000,135,135,115.002,117.492,510.8,0
WKHS.US,D,20160112,000000,117.708,117.708,101.602,103,1628.85,0
WKHS.US,D,20160113,000000,109,109,100,100.002,497.7,0
WKHS.US,D,20160114,000000,93.2,104,87.4,104,724,0
WKHS.US,D,20160115,000000,103.18,104,82.8,89,1015.9,0
WKHS.US,D,20160119,000000,100,100,88.6,88.6,805,0
WKHS.US,D,20160120,000000,99,99,90,90,335.5,0
WKHS.US,D,20160121,000000,91.154,99.998,91,99.998,148.75,0
WKHS.US,D,20160122,000000,105,106,102.6,105.69,320.25,0
WKHS.US,D,20160125,000000,110.8,110.8,104.66,109.8,372.3,0
WKHS.US,D,20160126,000000,109.8,109.8,107.514,108,74.3,0
WKHS.US,D,20160127,000000,108,112.8,100,100,1339.5,0
WKHS.US,D,20160128,000000,105.592,105.592,103.752,103.752,40,0
WKHS.US,D,20160129,000000,100,100.002,95.8,98.002,464.25,0
WKHS.US,D,20160201,000000,95.4,95.4,93.082,93.56,144.8,0
WKHS.US,D,20160202,000000,94.002,100,94,99.8,291.5,0
WKHS.US,D,20160203,000000,100,110,100,107.6,83.5,0
WKHS.US,D,20160204,000000,108,110.514,108,110.514,111.8,0
WKHS.US,D,20160205,000000,114.998,115,111.6,111.6,142.25,0
WKHS.US,D,20160208,000000,111.6,111.6,105.4,105.4,650.2,0
WKHS.US,D,20160209,000000,105.002,108,104.2,107.4,1591.75,0
WKHS.US,D,20160210,000000,109.4,109.4,100,100,101,0
WKHS.US,D,20160211,000000,100,104.6,97.8,97.8,163.7,0
WKHS.US,D,20160212,000000,98,99.2,97.8,98.8,501.5,0
WKHS.US,D,20160216,000000,99.96,100,95.8,99.6,227.25,0
WKHS.US,D,20160217,000000,101.798,106,101.2,102.6,660.15,0
WKHS.US,D,20160218,000000,103.82,108,101,108,693.95,0
WKHS.US,D,20160222,000000,100.8,106.304,100.4,106.304,382.35,0
WKHS.US,D,20160223,000000,103.2,107.6,103.2,107.598,109.25,0
WKHS.US,D,20160224,000000,106,107.4,103,105,311.4,0
WKHS.US,D,20160225,000000,102.8,107.4,101.602,104.6,426.1,0
WKHS.US,D,20160226,000000,106.2,106.6,103.1,103.8,150.05,0
WKHS.US,D,20160229,000000,105.6,105.6,102,102.8,311,0
WKHS.US,D,20160301,000000,102.6,106.6,102,106.4,258.95,0
WKHS.US,D,20160302,000000,105,107.6,105,107,561.45,0
WKHS.US,D,20160303,000000,102,111.8,102,111,1071.45,0
WKHS.US,D,20160304,000000,115.2,125,115.2,124.998,1698.2,0
WKHS.US,D,20160307,000000,125,150,123.6,142,1399.1,0
WKHS.US,D,20160308,000000,138.6,140,131.5,135.198,1168.35,0
WKHS.US,D,20160309,000000,140.4,140.4,115.884,129,2029.3,0
WKHS.US,D,20160310,000000,138,139.72,135.8,136.8,328.45,0
WKHS.US,D,20160311,000000,145.6,147.6,130,137.202,2577.65,0
WKHS.US,D,20160314,000000,139.12,167,136,164.4,4482.15,0
WKHS.US,D,20160315,000000,164,197.8,156.8,197.8,6016.9,0
WKHS.US,D,20160316,000000,185.6,224,178,211.4,7439.45,0
WKHS.US,D,20160317,000000,213.6,233,206.8,214.6,6788.05,0
WKHS.US,D,20160318,000000,219.6,220,180,182.8,10594.8,0
WKHS.US,D,20160321,000000,179.8,179.998,160.2,161,5080.4,0
WKHS.US,D,20160322,000000,162.6,175.6,148,175.6,2869.35,0
WKHS.US,D,20160323,000000,174,177.6,157,168.8,2104.7,0
WKHS.US,D,20160324,000000,166.8,189.6,159.92,175.4,1568.3,0
WKHS.US,D,20160328,000000,174.8,181.8,164,171.8,1497.85,0
WKHS.US,D,20160329,000000,173,175.4,168.8,173.2,819.4,0
WKHS.US,D,20160330,000000,177.8,189.998,173.4,174.2,1739.3,0
WKHS.US,D,20160331,000000,175.6,188.2,172.662,183.4,1670.1,0
WKHS.US,D,20160401,000000,182.2,190,181,188.2,4705.65,0
WKHS.US,D,20160404,000000,190,204,190,204,1439.2,0
WKHS.US,D,20160405,000000,202.2,205,199.802,205,2331.2,0
WKHS.US,D,20160406,000000,205,207.6,196.2,200.8,2280.45,0
WKHS.US,D,20160407,000000,200.6,228.2,200.6,228.2,4518.3,0
WKHS.US,D,20160408,000000,228.2,234,218,222,5034.1,0
WKHS.US,D,20160411,000000,225,225,198.2,218,4155.3,0
WKHS.US,D,20160412,000000,225.4,225.4,205,214,2688.55,0
WKHS.US,D,20160413,000000,217.4,220,206.4,215,3366.15,0
WKHS.US,D,20160414,000000,219.8,219.8,202.2,205,3582.3,0
WKHS.US,D,20160415,000000,209.6,213.2,188,188,4417.3,0
WKHS.US,D,20160418,000000,190.8,193.2,174.8,176.2,5690.2,0
WKHS.US,D,20160419,000000,177.8,186.8,166.402,169.4,4955.1,0
WKHS.US,D,20160420,000000,172.2,178.4,145,169,26061.55,0
WKHS.US,D,20160421,000000,166.4,166.4,150,152.8,6833.6,0
WKHS.US,D,20160422,000000,151.4,152,148.85,151.2,4302.15,0
WKHS.US,D,20160425,000000,150.2,151.4,133,136.6,4785.05,0
WKHS.US,D,20160426,000000,139.8,149.2,131,149.2,6624.55,0
WKHS.US,D,20160427,000000,137.4,146,122.01,142.4,12678.75,0
WKHS.US,D,20160428,000000,133.4,149.2,133.4,142.6,4398.75,0
WKHS.US,D,20160429,000000,142.6,155.4,141.2,154.6,3039.55,0
WKHS.US,D,20160502,000000,153.8,173,147.104,166,4130.95,0
WKHS.US,D,20160503,000000,167.6,168,165.38,168,4161.3,0
WKHS.US,D,20160504,000000,168.2,169.8,166.2,169.59,1300.45,0
WKHS.US,D,20160505,000000,169,169,154,156,2242.35,0
WKHS.US,D,20160506,000000,154.4,155.4,139.202,144.6,5964.55,0
WKHS.US,D,20160509,000000,144,147.62,140,144.2,2546.9,0
WKHS.US,D,20160510,000000,144.4,149.8,142.4,144.4,1708.95,0
WKHS.US,D,20160511,000000,143,149.8,140,142,1952.95,0
WKHS.US,D,20160512,000000,143.8,154.8,142.2,149.4,1232.2,0
WKHS.US,D,20160513,000000,147.2,150,138.4,141.6,1804.5,0
WKHS.US,D,20160516,000000,140.6,146.8,140.6,144.8,610.7,0
WKHS.US,D,20160517,000000,145.6,145.6,135,136.6,1316.1,0
WKHS.US,D,20160518,000000,137.4,141.8,133.2,134.4,1788.95,0
WKHS.US,D,20160519,000000,137.4,139.6,134.4,138.8,1249.65,0
WKHS.US,D,20160520,000000,135,140,135,139.2,2138.1,0
WKHS.US,D,20160523,000000,134.6,140,134.6,138,1745.3,0
WKHS.US,D,20160524,000000,137.4,144,134.8,143,1937.4,0
WKHS.US,D,20160525,000000,145.4,145.4,137.4,144.8,1224.15,0
WKHS.US,D,20160526,000000,144,144,136.4,143.6,949.8,0
WKHS.US,D,20160527,000000,140.6,141.936,138.2,139.8,548.45,0
WKHS.US,D,20160531,000000,141.6,141.8,136.8,139.8,997.65,0
WKHS.US,D,20160601,000000,140,140,136,139,798.8,0
WKHS.US,D,20160602,000000,139,143,137.4,140,1045.65,0
WKHS.US,D,20160603,000000,137.8,140,134.4,137.8,499.3,0
WKHS.US,D,20160606,000000,135.6,172,135.6,165,4729.3,0
WKHS.US,D,20160607,000000,168,168,138.8,163.6,5871.65,0
WKHS.US,D,20160608,000000,161.4,173,160.8,168,3279.05,0
WKHS.US,D,20160609,000000,161.6,172,161.6,167,3497.95,0
WKHS.US,D,20160610,000000,167.6,175,165.8,173,4597,0
WKHS.US,D,20160613,000000,166,175,140.4,140.8,5889.7,0
WKHS.US,D,20160614,000000,148.2,148.2,135.2,141.4,4298.4,0
WKHS.US,D,20160615,000000,140.6,144,137.6,138.6,3531.75,0
WKHS.US,D,20160616,000000,139,142.6,133.2,139.4,3321.35,0
WKHS.US,D,20160617,000000,140,140,133,133.602,1671.8,0
WKHS.US,D,20160620,000000,136,139.8,133.6,138.2,2485.9,0
WKHS.US,D,20160621,000000,134,139.2,134,138.2,2260.85,0
WKHS.US,D,20160622,000000,137,138.8,133,138.2,2916.6,0
WKHS.US,D,20160623,000000,138,139.8,133.6,138.2,3690.8,0
WKHS.US,D,20160624,000000,133,146.2,133,145,7020.3,0
WKHS.US,D,20160627,000000,141.2,147,129,133.2,5956.6,0
WKHS.US,D,20160628,000000,143.8,143.8,125.6,126.6,6644.55,0
WKHS.US,D,20160629,000000,146.2,146.2,129.8,138.6,4351.25,0
WKHS.US,D,20160630,000000,138.6,138.6,126.4,137,2703.45,0
WKHS.US,D,20160701,000000,140,140,129,133.2,2638.75,0
WKHS.US,D,20160705,000000,135,139.8,132.1,136.6,2150.75,0
WKHS.US,D,20160706,000000,137,138.8,131.6,137,2920.7,0
WKHS.US,D,20160707,000000,138.2,147.6,136,144.6,6047.3,0
WKHS.US,D,20160708,000000,144.8,150,144.8,147,3591.2,0
WKHS.US,D,20160711,000000,148,148,135,140.2,3384.95,0
WKHS.US,D,20160712,000000,137.2,144,136.4,144,6033.15,0
WKHS.US,D,20160713,000000,144,144,135.4,138,2181.3,0
WKHS.US,D,20160714,000000,138,141.8,135.04,135.8,2990.45,0
WKHS.US,D,20160715,000000,137.8,141.6,130.056,132.6,4014.45,0
WKHS.US,D,20160718,000000,131,133.6,111,115.8,10258.3,0
WKHS.US,D,20160719,000000,115.2,126.8,115.2,124.6,2737.65,0
WKHS.US,D,20160720,000000,124.6,125,119.6,120.8,3011.15,0
WKHS.US,D,20160721,000000,119.8,125,116.4,120.4,2679.4,0
WKHS.US,D,20160722,000000,120.4,124,118.4,123.6,652.75,0
WKHS.US,D,20160725,000000,124.8,129.4,120.6,127.6,2880.5,0
WKHS.US,D,20160726,000000,126.6,131,116.4,121.6,3300.15,0
WKHS.US,D,20160727,000000,122,128,122,127.8,1120.35,0
WKHS.US,D,20160728,000000,129.998,130.6,127,129.8,1705.75,0
WKHS.US,D,20160729,000000,127.2,132.8,127.2,131.4,1133.3,0
WKHS.US,D,20160801,000000,132.4,135,128.6,130.4,962.7,0
WKHS.US,D,20160802,000000,129.4,133,128.4,130,1066.9,0
WKHS.US,D,20160803,000000,130.6,131,126,126.6,1626.3,0
WKHS.US,D,20160804,000000,127,128.8,127,128,901.85,0
WKHS.US,D,20160805,000000,130,132,129,130.2,2539.25,0
WKHS.US,D,20160808,000000,132.4,133,127.8,131.8,1818.85,0
WKHS.US,D,20160809,000000,129,139.386,129,136.8,1874,0
WKHS.US,D,20160810,000000,139.2,140,136.4,140,2426.4,0
WKHS.US,D,20160811,000000,138.4,145.4,131.6,144.2,2395.75,0
WKHS.US,D,20160812,000000,140.2,155.8,137.4,138.4,5593.8,0
WKHS.US,D,20160815,000000,137.4,142.6,136.6,140.2,2980.7,0
WKHS.US,D,20160816,000000,142.8,146.916,136.4,145.2,1753.75,0
WKHS.US,D,20160817,000000,142,148,139,141.958,2806.2,0
WKHS.US,D,20160818,000000,140,148,138.2,146,4504.7,0
WKHS.US,D,20160819,000000,146.2,150,142.2,149.4,4644.95,0
WKHS.US,D,20160822,000000,148.4,161.8,146.4,155.8,5930.25,0
WKHS.US,D,20160823,000000,157.2,160,151,155.8,1884.55,0
WKHS.US,D,20160824,000000,154.8,159.8,147,149.4,3920.4,0
WKHS.US,D,20160825,000000,148,159,144.2,156.2,2403.05,0
WKHS.US,D,20160826,000000,155,164.4,152.4,162.4,3701.7,0
WKHS.US,D,20160829,000000,163.6,163.6,155.2,160,2189.75,0
WKHS.US,D,20160830,000000,158.6,167,158,164.4,2449.9,0
WKHS.US,D,20160831,000000,165.8,166,159,164,1618.35,0
WKHS.US,D,20160901,000000,165.4,168.6,161,162.2,1497.15,0
WKHS.US,D,20160902,000000,164.8,164.8,161,161.8,1293.6,0
WKHS.US,D,20160906,000000,160.8,166.2,159.2,164,1699.5,0
WKHS.US,D,20160907,000000,162.8,170.4,160.2,169.5,1742.7,0
WKHS.US,D,20160908,000000,170,179.8,166,170.6,4045.45,0
WKHS.US,D,20160909,000000,171.2,174.4,163.2,163.2,2036,0
WKHS.US,D,20160912,000000,165.6,165.6,155,164,2712.55,0
WKHS.US,D,20160913,000000,163.4,173.8,162,162.2,2543.55,0
WKHS.US,D,20160914,000000,162.6,165,158.2,159.6,1844.15,0
WKHS.US,D,20160915,000000,162.2,167.8,159.4,165.8,2753.25,0
WKHS.US,D,20160916,000000,167,181,166.38,178.2,5187.9,0
WKHS.US,D,20160919,000000,198.8,206,185.8,186.8,19579.2,0
WKHS.US,D,20160920,000000,197,197,177,183.6,8423.05,0
WKHS.US,D,20160921,000000,181.6,181.6,166.4,171,14818.45,0
WKHS.US,D,20160922,000000,174.6,177.2,160.6,163.4,8445.25,0
WKHS.US,D,20160923,000000,164.4,166,152.592,163,6035,0
WKHS.US,D,20160926,000000,162,162.8,139.402,147.8,13917.65,0
WKHS.US,D,20160927,000000,147,152.4,146.6,150.8,3173.8,0
WKHS.US,D,20160928,000000,149.8,151.998,148.2,150.8,1877,0
WKHS.US,D,20160929,000000,149.6,151,146.056,147.2,2164.55,0
WKHS.US,D,20160930,000000,148,148.8,143,144.2,3501.3,0
WKHS.US,D,20161003,000000,145,145.2,132.4,133.8,5389.2,0
WKHS.US,D,20161004,000000,130.4,141.464,130.2,135.6,3461.7,0
WKHS.US,D,20161005,000000,135.6,139.2,133.2,137.2,3194.65,0
WKHS.US,D,20161006,000000,137,142,136,140.8,1401.4,0
WKHS.US,D,20161007,000000,140.8,141.6,132,134.2,3963.5,0
WKHS.US,D,20161010,000000,134.2,148.2,132.8,146,3390.6,0
WKHS.US,D,20161011,000000,146.2,150.8,136.4,138,4152,0
WKHS.US,D,20161012,000000,138.8,139.95,135,136.8,1302.95,0
WKHS.US,D,20161013,000000,136.4,142,136.096,138.6,1668.45,0
WKHS.US,D,20161014,000000,137,145,137,142,1681.9,0
WKHS.US,D,20161017,000000,142.128,144.8,140,144.2,1206,0
WKHS.US,D,20161018,000000,144.4,149.2,143.4,146.4,1371.7,0
WKHS.US,D,20161019,000000,149,149,143.6,145.4,1486.15,0
WKHS.US,D,20161020,000000,144.2,145.8,139,144.6,1384.55,0
WKHS.US,D,20161021,000000,142.8,143.2,138,139,1397.15,0
WKHS.US,D,20161024,000000,140.4,141.8,138.2,139.6,1011.15,0
WKHS.US,D,20161025,000000,139,139.716,137,138.2,1326.4,0
WKHS.US,D,20161026,000000,138.2,140,134.6,136,1213.2,0
WKHS.US,D,20161027,000000,137.2,137.2,131.2,132.6,1308.2,0
WKHS.US,D,20161028,000000,132.2,136.6,132.2,132.8,1479.7,0
WKHS.US,D,20161031,000000,133.8,134,130,132.8,1731.55,0
WKHS.US,D,20161101,000000,134,139.6,128.4,131,3582.25,0
WKHS.US,D,20161102,000000,131,132.222,129.4,130.8,1294.95,0
WKHS.US,D,20161103,000000,132,132,127.2,128.6,2930.35,0
WKHS.US,D,20161104,000000,129.602,129.602,127,127.4,1013.45,0
WKHS.US,D,20161107,000000,129.8,140.2,129.8,139.4,1987.3,0
WKHS.US,D,20161108,000000,140.8,149,135.2,137,3109.55,0
WKHS.US,D,20161109,000000,136,143.6,130.2,142.4,3066.85,0
WKHS.US,D,20161110,000000,145,149.034,136,138.8,1960.8,0
WKHS.US,D,20161111,000000,137.6,147,137.6,146.8,2568,0
WKHS.US,D,20161114,000000,149.8,150,147,150,2808.95,0
WKHS.US,D,20161115,000000,149,149.448,145,145.2,1679.75,0
WKHS.US,D,20161116,000000,146.2,147.772,146.002,147,731.85,0
WKHS.US,D,20161117,000000,148.4,152.2,145.2,147.2,3764.15,0
WKHS.US,D,20161118,000000,148,151.2,148,151.2,1538.9,0
WKHS.US,D,20161121,000000,152.2,156.2,150.4,155.8,1773,0
WKHS.US,D,20161122,000000,155.4,156.2,153,155.6,2484.5,0
WKHS.US,D,20161123,000000,155.6,158.8,152,158.4,1241.05,0
WKHS.US,D,20161125,000000,157,172.4,157,170.4,1558.7,0
WKHS.US,D,20161128,000000,172,174.2,162,166.2,2790.5,0
WKHS.US,D,20161129,000000,167,167,157.2,158.8,1507.65,0
WKHS.US,D,20161130,000000,160.2,163.798,147.2,148.2,2349.95,0
WKHS.US,D,20161201,000000,149.6,149.6,141.8,142.6,1937.6,0
WKHS.US,D,20161202,000000,142,146.6,141,141.2,1982.85,0
WKHS.US,D,20161205,000000,143,152.6,141.622,150,2176.9,0
WKHS.US,D,20161206,000000,151.62,151.62,147,148,1763.05,0
WKHS.US,D,20161207,000000,146.6,150.8,143,143.2,995.4,0
WKHS.US,D,20161208,000000,144.6,147.2,142,143,1550.7,0
