<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WKME.US,D,20210616,000000,31.25,31.64,27.25,28.81,6176688,0
WKME.US,D,20210617,000000,29.25,29.8,28.73,28.77,930305,0
WKME.US,D,20210618,000000,28.73,29.66,28.3101,29.06,297922,0
WKME.US,D,20210621,000000,29.69,30.13,29.205,30,329124,0
WKME.US,D,20210622,000000,30.5,30.5,29.12,29.7,191632,0
WKME.US,D,20210623,000000,29.9,30.3,29.13,30.2,151870,0
WKME.US,D,20210624,000000,29.94,30.815,29.56,30.32,363965,0
WKME.US,D,20210625,000000,30.34,30.37,29.88,30.14,123552,0
WKME.US,D,20210628,000000,30.29,30.5,29.5001,30,166036,0
WKME.US,D,20210629,000000,30.24,30.36,29.66,30.21,286037,0
WKME.US,D,20210630,000000,30.27,30.43,28.8,29.26,290467,0
WKME.US,D,20210701,000000,29.5895,30.1,28.65,29.17,355827,0
WKME.US,D,20210702,000000,29.04,30.02,29.04,29.86,157931,0
WKME.US,D,20210706,000000,30.03,30.44,29.8,30.12,199192,0
WKME.US,D,20210707,000000,30.04,30.47,29,29.3,231253,0
WKME.US,D,20210708,000000,29.27,29.95,28.55,29.48,211336,0
WKME.US,D,20210709,000000,29.53,30.96,29.36,30.89,268914,0
WKME.US,D,20210712,000000,31.49,32.04,29.31,29.85,638169,0
WKME.US,D,20210713,000000,30.18,30.5,29.39,29.58,230471,0
WKME.US,D,20210714,000000,29.69,30.2,28.8,29.13,126749,0
WKME.US,D,20210715,000000,29.12,30.19,28.6,29.91,254403,0
WKME.US,D,20210716,000000,30.1,30.1,28.95,29.06,89850,0
WKME.US,D,20210719,000000,29.15,29.83,28.67,29.69,133615,0
WKME.US,D,20210720,000000,30,30.4361,28.75,28.89,244944,0
WKME.US,D,20210721,000000,29.25,29.77,28.27,29.6,108517,0
WKME.US,D,20210722,000000,29.65,29.71,28.75,29.18,89932,0
WKME.US,D,20210723,000000,29.32,29.52,28.8,29.48,44558,0
WKME.US,D,20210726,000000,29.5,29.5,28.31,28.72,241642,0
WKME.US,D,20210727,000000,28.51,29.25,28.27,28.67,116566,0
WKME.US,D,20210728,000000,28.6,28.9397,28.49,28.8,50075,0
WKME.US,D,20210729,000000,28.97,28.98,28.68,28.8,19170,0
WKME.US,D,20210730,000000,28.8,28.8,27.03,27.74,117984,0
WKME.US,D,20210802,000000,27.91,28.19,27.05,27.78,77404,0
WKME.US,D,20210803,000000,27.5,27.74,27.1501,27.62,65893,0
WKME.US,D,20210804,000000,27.54,28.2,27.3401,27.87,38619,0
WKME.US,D,20210805,000000,27.95,28.26,27.12,27.99,119724,0
WKME.US,D,20210806,000000,27.99,28.17,27.5001,28.01,13369,0
WKME.US,D,20210809,000000,27.91,28.67,27.285,27.37,31145,0
WKME.US,D,20210810,000000,27.4,28.0404,25.4705,25.52,124218,0
WKME.US,D,20210811,000000,26.15,26.77,24.9369,25.16,112535,0
WKME.US,D,20210812,000000,24.82,25.4165,23.33,24,191916,0
WKME.US,D,20210813,000000,23.9,24.48,23.72,24.32,277941,0
WKME.US,D,20210816,000000,24.32,24.32,23,23.15,163594,0
WKME.US,D,20210817,000000,23.01,23.46,22.18,23.12,133415,0
WKME.US,D,20210818,000000,23.74,24.5,23,24.25,131452,0
WKME.US,D,20210819,000000,24.2,25.1196,24,24.32,194259,0
WKME.US,D,20210820,000000,24.2548,24.76,24.05,24.5,47760,0
WKME.US,D,20210823,000000,24.33,25.6994,24.32,25.31,166756,0
WKME.US,D,20210824,000000,25.47,26.89,25.275,26.7,104700,0
WKME.US,D,20210825,000000,26.66,27.28,26.28,26.79,44843,0
WKME.US,D,20210826,000000,26.44,26.94,25.92,25.96,132626,0
WKME.US,D,20210827,000000,26.21,26.37,25.21,25.76,135847,0
WKME.US,D,20210830,000000,25.75,27.24,25.1181,27.07,198515,0
WKME.US,D,20210831,000000,27.27,28.215,26.34,27.74,131676,0
WKME.US,D,20210901,000000,27.98,29.25,27.32,29.14,211081,0
WKME.US,D,20210902,000000,29.14,29.14,28.34,28.45,217324,0
WKME.US,D,20210903,000000,28.62,29.35,28.5,29.22,70878,0
WKME.US,D,20210907,000000,29.36,29.5,28.61,28.88,118590,0
WKME.US,D,20210908,000000,29,29,28.3,28.69,154193,0
WKME.US,D,20210909,000000,28.2,28.89,28.01,28.38,93840,0
WKME.US,D,20210910,000000,28.53,29.1,28.425,28.89,264199,0
