<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WLAC.US,D,20241231,000000,9.87,9.89,9.87,9.8899,3012,0
WLAC.US,D,20250102,000000,9.9,9.9,9.87,9.87,1479,0
WLAC.US,D,20250106,000000,9.87,9.87,9.87,9.87,1125,0
WLAC.US,D,20250110,000000,9.885,9.885,9.885,9.885,297746,0
WLAC.US,D,20250113,000000,9.9,9.9,9.9,9.9,505,0
WLAC.US,D,20250114,000000,10,10,9.905,9.905,414,0
WLAC.US,D,20250115,000000,9.99,9.99,9.905,9.91,389921,0
WLAC.US,D,20250116,000000,9.91,9.91,9.9087,9.91,152397,0
WLAC.US,D,20250121,000000,9.945,9.945,9.9,9.92,14079,0
WLAC.US,D,20250122,000000,9.901,9.91,9.9,9.91,3124,0
WLAC.US,D,20250123,000000,9.92,9.95,9.91,9.91,8109,0
WLAC.US,D,20250124,000000,9.9099,9.93,9.9,9.9251,33918,0
WLAC.US,D,20250127,000000,9.98,9.9801,9.91,9.92,5889,0
WLAC.US,D,20250128,000000,9.9241,9.94,9.92,9.92,4299,0
WLAC.US,D,20250129,000000,9.92,9.95,9.92,9.95,288249,0
WLAC.US,D,20250130,000000,9.92,9.9295,9.92,9.9295,2138,0
WLAC.US,D,20250131,000000,9.9305,9.95,9.9305,9.94,382,0
WLAC.US,D,20250203,000000,9.93,9.93,9.93,9.93,155,0
WLAC.US,D,20250204,000000,9.93,9.93,9.93,9.93,101,0
WLAC.US,D,20250205,000000,9.94,9.94,9.94,9.94,25000,0
WLAC.US,D,20250206,000000,9.94,9.94,9.94,9.94,108,0
WLAC.US,D,20250207,000000,9.93,9.95,9.93,9.95,1502,0
WLAC.US,D,20250210,000000,9.95,9.95,9.94,9.94,22360,0
WLAC.US,D,20250211,000000,9.95,9.95,9.9449,9.95,7008,0
WLAC.US,D,20250212,000000,9.9416,9.95,9.9416,9.9449,5589,0
WLAC.US,D,20250213,000000,9.95,9.95,9.95,9.95,58924,0
