<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WLACW.US,D,20250103,000000,0.3499,0.499,0.264,0.264,25003,0
WLACW.US,D,20250106,000000,0.28,0.28,0.25,0.278,15670,0
WLACW.US,D,20250107,000000,0.23,0.27,0.19,0.2,81400,0
WLACW.US,D,20250108,000000,0.19,0.24,0.18,0.18,118133,0
WLACW.US,D,20250110,000000,0.18,0.1801,0.177758,0.177758,2311,0
WLACW.US,D,20250114,000000,0.176,0.1775,0.176,0.1767,3142,0
WLACW.US,D,20250115,000000,0.1817,0.1817,0.1817,0.1817,870,0
WLACW.US,D,20250116,000000,0.1701,0.1702,0.17,0.1702,2390,0
WLACW.US,D,20250121,000000,0.15,0.15,0.15,0.15,801,0
WLACW.US,D,20250122,000000,0.1951,0.1951,0.1599,0.183773,1180,0
WLACW.US,D,20250124,000000,0.18,0.18,0.1503,0.18,6831,0
WLACW.US,D,20250128,000000,0.18,0.18,0.18,0.18,100013,0
WLACW.US,D,20250130,000000,0.18,0.18,0.1601,0.1601,2097,0
WLACW.US,D,20250131,000000,0.1673,0.18,0.1673,0.18,600,0
WLACW.US,D,20250210,000000,0.196,0.22,0.18,0.18,1000,0
WLACW.US,D,20250212,000000,0.18,0.2001,0.18,0.2,1420,0
WLACW.US,D,20250213,000000,0.2,0.2,0.2,0.2,100,0
