<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WLDS.US,D,20220913,000000,94,117,49.2,57,443188.3,0
WLDS.US,D,20220914,000000,53,60.596,45.4,59,130846.2,0
WLDS.US,D,20220915,000000,49.6,56.8,49,54.4,65477.7,0
WLDS.US,D,20220916,000000,49.2,52.906,44.21,46.8,29193.15,0
WLDS.US,D,20220919,000000,42.2,47.2,35.4,36.2,43187.75,0
WLDS.US,D,20220920,000000,33.6,38.9,33.6,34.4,29795.8,0
WLDS.US,D,20220921,000000,34.2,35.6,27.4,27.4,21969.8,0
WLDS.US,D,20220922,000000,27.2,30.6,25.4,26.6,21374.55,0
WLDS.US,D,20220923,000000,24.8,25.798,22.4,23.2,21138,0
WLDS.US,D,20220926,000000,22.4,23,20.4,21.2,15222.05,0
WLDS.US,D,20220927,000000,21,26.6,21,22.4,17437.75,0
WLDS.US,D,20220928,000000,23.6,24.8,20.6,21,14527.6,0
WLDS.US,D,20220929,000000,20.4,20.9,18.8,19.066,11257.5,0
WLDS.US,D,20220930,000000,19.2,19.8,17.6,17.6,5529.2,0
WLDS.US,D,20221003,000000,21.8,29,21.6,26.2,1109353.95,0
WLDS.US,D,20221004,000000,23.6,25.4,20.2,21.6,70306.7,0
WLDS.US,D,20221005,000000,20.6,21.6,20,21.2,16627.25,0
WLDS.US,D,20221006,000000,21,21.4,18.62,19.2,27445,0
WLDS.US,D,20221007,000000,19.44,21.936,19.2,19.376,10771.95,0
WLDS.US,D,20221010,000000,19.6,20.962,19.2,20,7455.05,0
WLDS.US,D,20221011,000000,21.2,21.2,19,20.6,13841.8,0
WLDS.US,D,20221012,000000,21,21,19.4,20,7385.6,0
WLDS.US,D,20221013,000000,19.4,20,19.2,19.6,2472.45,0
WLDS.US,D,20221014,000000,19.2,20.76,19.2,19.414,3765.75,0
WLDS.US,D,20221017,000000,19.4,19.8,18.64,19.6,5013.4,0
WLDS.US,D,20221018,000000,20,20,18.82,19.2,7543.2,0
WLDS.US,D,20221019,000000,18.97,19.301,18,18.424,4729.55,0
WLDS.US,D,20221020,000000,18.75,18.8,17.6,18.386,4886.6,0
WLDS.US,D,20221021,000000,18.6,18.76,17.402,17.802,1920.25,0
WLDS.US,D,20221024,000000,17.4,18,17.4,17.404,3594.1,0
WLDS.US,D,20221025,000000,17.45,18.32,17.4,17.6,1696.85,0
WLDS.US,D,20221026,000000,17.6,18,17.174,17.482,2235.6,0
WLDS.US,D,20221027,000000,17.451,17.926,17,17.3,3032.55,0
WLDS.US,D,20221028,000000,17.748,17.748,16.68,16.998,3245.65,0
WLDS.US,D,20221031,000000,16.252,16.806,15.004,15.632,6358.15,0
WLDS.US,D,20221101,000000,16.4,16.4,15.8,16.198,2990.7,0
WLDS.US,D,20221102,000000,16,16.58,15.4,15.918,1297.9,0
WLDS.US,D,20221103,000000,15.4,16.07,15.022,15.92,2357.85,0
WLDS.US,D,20221104,000000,15.998,15.998,14.65,15.396,1976.1,0
WLDS.US,D,20221107,000000,14.82,15.25,13.4,13.556,2454.1,0
WLDS.US,D,20221108,000000,12.882,14.1582,12.8,12.9,5285.9,0
WLDS.US,D,20221109,000000,13.234,14.396,13.002,13.546,2141.95,0
WLDS.US,D,20221110,000000,13.4,13.546,12.022,12.798,10265.45,0
WLDS.US,D,20221111,000000,12.792,13.546,12.792,12.842,2349.55,0
WLDS.US,D,20221114,000000,13.34,13.45,12.64,13.358,2214.3,0
WLDS.US,D,20221115,000000,12.604,13.568,12.31,12.81,2406.3,0
WLDS.US,D,20221116,000000,12.524,12.8,12.45,12.792,669.95,0
WLDS.US,D,20221117,000000,12.76,13.186,12.592,12.798,970.55,0
WLDS.US,D,20221118,000000,13.025,13.6,12.65,13.1,2367.05,0
WLDS.US,D,20221121,000000,13.412,13.56,12.806,13.398,2096.65,0
WLDS.US,D,20221122,000000,13.826,14.8,13.026,13.998,6765.05,0
WLDS.US,D,20221123,000000,14,14.578,13.4,13.994,1289.3,0
WLDS.US,D,20221125,000000,14.2,14.38,13.5019,13.896,1559.1,0
WLDS.US,D,20221128,000000,13.8,13.8,12.8,13.378,2189.25,0
WLDS.US,D,20221129,000000,12.6,13.998,12.6,13.622,2386.6,0
WLDS.US,D,20221130,000000,14,14,13.002,13.201,3701.2,0
WLDS.US,D,20221201,000000,13.2,19,13.2,14.278,116819.9,0
WLDS.US,D,20221202,000000,13.98,14.192,12.4,12.422,10423.6,0
WLDS.US,D,20221205,000000,12.2,13.2,11.82,12.4,11631.5,0
WLDS.US,D,20221206,000000,13.198,13.692,12.2,13,24082.35,0
WLDS.US,D,20221207,000000,14.2,14.8,11.6,12.156,50131.3,0
WLDS.US,D,20221208,000000,13.576,13.8,12.406,13.106,33072.5,0
WLDS.US,D,20221209,000000,13.6,15.6,12.8,14.698,50450.6,0
WLDS.US,D,20221212,000000,14.35,14.694,12,12.79,20367.45,0
WLDS.US,D,20221213,000000,12.498,14.6,12.2,12.346,16216.45,0
WLDS.US,D,20221214,000000,12.36,12.998,12,12.155,8219.95,0
WLDS.US,D,20221215,000000,11.774,12.2,10.062,10.756,15417.95,0
WLDS.US,D,20221216,000000,10.758,10.892,9.504,10.2,10666.35,0
WLDS.US,D,20221219,000000,9.894,9.99798,9.246,9.422,1998.4,0
WLDS.US,D,20221220,000000,9.424,10.2,9.268,9.788,6367.95,0
WLDS.US,D,20221221,000000,10.128,10.128,9.6,10.0792,2615.65,0
WLDS.US,D,20221222,000000,9.912,9.912,9.02,9.502,4167.25,0
