<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WRNT.US,D,20230725,000000,4.8,5.25,4.04,4.3,4749490,0
WRNT.US,D,20230726,000000,5.43,5.85,3.21,3.39,12396714,0
WRNT.US,D,20230727,000000,3.5,3.55,2.13,2.46,6091660,0
WRNT.US,D,20230728,000000,2.26,2.45,2.1,2.185,2737038,0
WRNT.US,D,20230731,000000,2.2,2.35,1.85,1.9,1635028,0
WRNT.US,D,20230801,000000,1.75,1.79,1.51,1.6,2803131,0
WRNT.US,D,20230802,000000,1.74,1.94,1.6701,1.73,1736996,0
WRNT.US,D,20230803,000000,1.71,1.79,1.54,1.59,921994,0
WRNT.US,D,20230804,000000,1.53,1.69,1.53,1.57,524427,0
WRNT.US,D,20230807,000000,1.56,1.61,1.33,1.37,540078,0
WRNT.US,D,20230808,000000,1.34,1.3872,1.31,1.35,254461,0
WRNT.US,D,20230809,000000,1.31,1.399,1.2301,1.31,399157,0
WRNT.US,D,20230810,000000,1.35,1.4699,1.28,1.4057,694357,0
WRNT.US,D,20230811,000000,1.4,1.4,1.27,1.32,970470,0
WRNT.US,D,20230814,000000,1.28,1.3,1.19,1.2,506151,0
WRNT.US,D,20230815,000000,1.18,1.1999,1.08,1.13,423469,0
WRNT.US,D,20230816,000000,1.04,1.17,1.01,1.06,209525,0
WRNT.US,D,20230817,000000,1.09,1.23,1.04,1.1595,614236,0
WRNT.US,D,20230818,000000,1.16,1.21,1.13,1.18,245377,0
WRNT.US,D,20230821,000000,1.14,1.1753,1.08,1.0829,219612,0
WRNT.US,D,20230822,000000,1.14,1.14,1.02,1.03,234260,0
WRNT.US,D,20230823,000000,1.02,1.07,0.97,1.04,222398,0
WRNT.US,D,20230824,000000,1.03,1.0608,0.96,0.9601,212289,0
WRNT.US,D,20230825,000000,0.97,0.99,0.93,0.9745,154337,0
WRNT.US,D,20230828,000000,0.96,0.9748,0.8605,0.8995,266982,0
WRNT.US,D,20230829,000000,0.945,1.22,0.911,1.05,1027773,0
WRNT.US,D,20230830,000000,1.01,1.04,0.91,0.936,285214,0
WRNT.US,D,20230831,000000,0.93,0.96,0.9,0.9,117658,0
WRNT.US,D,20230901,000000,0.89,0.945,0.85,0.9,174175,0
WRNT.US,D,20230905,000000,0.91,0.9599,0.8899,0.92,99749,0
WRNT.US,D,20230906,000000,0.915375,1.03,0.9011,0.9708,125913,0
WRNT.US,D,20230907,000000,1.01,1.01,0.9168,0.9451,155906,0
WRNT.US,D,20230908,000000,0.999599,0.999599,0.9,0.943,69714,0
WRNT.US,D,20230911,000000,0.965001,0.965001,0.91,0.94,65173,0
WRNT.US,D,20230912,000000,0.93,0.939951,0.83,0.881,163907,0
WRNT.US,D,20230913,000000,0.85,0.869899,0.8011,0.830101,131273,0
WRNT.US,D,20230914,000000,0.8457,0.8675,0.81,0.83,19925,0
WRNT.US,D,20230915,000000,0.87,0.87,0.7499,0.7796,132430,0
WRNT.US,D,20230918,000000,0.7787,0.7787,0.652,0.7,402627,0
WRNT.US,D,20230919,000000,0.66,0.689999,0.63,0.631,103011,0
WRNT.US,D,20230920,000000,0.66,0.7189,0.63,0.7,168778,0
WRNT.US,D,20230921,000000,0.6881,0.74,0.65,0.667,401306,0
WRNT.US,D,20230922,000000,0.693,0.835899,0.674,0.8001,686087,0
WRNT.US,D,20230925,000000,0.861,0.96,0.7216,0.781,1513473,0
WRNT.US,D,20230926,000000,0.7485,0.7569,0.65,0.67,282855,0
WRNT.US,D,20230927,000000,0.6601,0.68,0.6475,0.657,104550,0
WRNT.US,D,20230928,000000,0.66,0.68,0.64,0.65,58401,0
WRNT.US,D,20230929,000000,0.65,0.68,0.65,0.67,45383,0
WRNT.US,D,20231002,000000,0.655,0.67,0.6312,0.67,72343,0
WRNT.US,D,20231003,000000,0.6373,0.6799,0.63,0.6608,91411,0
WRNT.US,D,20231004,000000,0.63,0.6746,0.63,0.6746,44397,0
WRNT.US,D,20231005,000000,0.641,0.65,0.6302,0.65,48604,0
WRNT.US,D,20231006,000000,0.65,0.66,0.6302,0.659,24658,0
WRNT.US,D,20231009,000000,0.63,0.6408,0.602101,0.6126,23002,0
WRNT.US,D,20231010,000000,0.6126,0.66,0.6,0.645,73524,0
WRNT.US,D,20231011,000000,0.6476,0.69,0.6201,0.65,86622,0
WRNT.US,D,20231012,000000,0.6233,0.689799,0.6006,0.6498,42031,0
