<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WTMAR.US,D,20230620,000000,0.05,0.13,0.05,0.05,24243,0
WTMAR.US,D,20230621,000000,0.051,0.1378,0.051,0.0902,8766,0
WTMAR.US,D,20230622,000000,0.12029,0.12029,0.0502,0.0606,4157,0
WTMAR.US,D,20230623,000000,0.0993,0.0996,0.0556,0.0733,8183,0
WTMAR.US,D,20230626,000000,0.0956,0.0959,0.055,0.091,7080,0
WTMAR.US,D,20230627,000000,0.0835,0.0835,0.0794,0.0807,904,0
WTMAR.US,D,20230628,000000,0.070621,0.0748,0.0704,0.0704,24596,0
WTMAR.US,D,20230629,000000,0.0615,0.0651,0.0537,0.0537,10174,0
WTMAR.US,D,20230630,000000,0.0615,0.0676,0.0607,0.0676,1452,0
WTMAR.US,D,20230706,000000,0.0636,0.0636,0.0615,0.0615,660,0
WTMAR.US,D,20230712,000000,0.0687,0.0809,0.0615,0.08,120149,0
WTMAR.US,D,20230713,000000,0.09,0.091499,0.09,0.09,350143,0
WTMAR.US,D,20230714,000000,0.0751,0.0751,0.0751,0.0751,288,0
WTMAR.US,D,20230725,000000,0.0723,0.0732,0.0701,0.0701,1400,0
WTMAR.US,D,20230802,000000,0.0792,0.094,0.0792,0.094,3525,0
WTMAR.US,D,20230803,000000,0.0821,0.0821,0.0821,0.0821,215,0
WTMAR.US,D,20230808,000000,0.0802,0.0802,0.0723,0.0795,10200,0
WTMAR.US,D,20230809,000000,0.0802,0.0802,0.0802,0.0802,101,0
WTMAR.US,D,20230810,000000,0.0883,0.0884,0.0876,0.0877,479,0
WTMAR.US,D,20230811,000000,0.0802,0.0802,0.0802,0.0802,609,0
WTMAR.US,D,20230814,000000,0.1,0.1,0.0703,0.0703,236,0
WTMAR.US,D,20230815,000000,0.0771,0.0771,0.07,0.0771,13397,0
WTMAR.US,D,20230818,000000,0.1115,0.1115,0.1115,0.1115,209,0
WTMAR.US,D,20230821,000000,0.1218,0.1218,0.1218,0.1218,271,0
WTMAR.US,D,20230825,000000,0.125,0.1275,0.1213,0.1275,13157,0
WTMAR.US,D,20230828,000000,0.1483,0.1484,0.1483,0.1484,300,0
WTMAR.US,D,20230830,000000,0.11,0.119,0.11,0.11,31902,0
WTMAR.US,D,20230831,000000,0.1077,0.11,0.101,0.101,28698,0
WTMAR.US,D,20230901,000000,0.101,0.101,0.101,0.101,100,0
WTMAR.US,D,20230905,000000,0.1128,0.1129,0.1128,0.1129,400,0
WTMAR.US,D,20230906,000000,0.101,0.101,0.101,0.101,700,0
WTMAR.US,D,20230907,000000,0.1133,0.12,0.1133,0.12,1000,0
WTMAR.US,D,20230908,000000,0.12,0.12,0.12,0.12,263,0
WTMAR.US,D,20230911,000000,0.12,0.1374,0.117,0.12,2050,0
WTMAR.US,D,20230912,000000,0.14,0.14,0.13,0.13,645,0
WTMAR.US,D,20230913,000000,0.148611,0.15,0.1312,0.1405,6409,0
WTMAR.US,D,20230914,000000,0.1608,0.2423,0.1494,0.182,11704,0
WTMAR.US,D,20230915,000000,0.16,0.16,0.16,0.16,400,0
WTMAR.US,D,20230919,000000,0.150332,0.1832,0.15,0.15,350,0
WTMAR.US,D,20230920,000000,0.15,0.15,0.15,0.15,250,0
WTMAR.US,D,20230922,000000,0.150375,0.150375,0.13,0.13,688,0
WTMAR.US,D,20230925,000000,0.12,0.1876,0.1013,0.1417,12382,0
WTMAR.US,D,20230926,000000,0.162077,0.1995,0.15,0.15,8467,0
WTMAR.US,D,20230928,000000,0.1441,0.1589,0.14,0.14,931,0
WTMAR.US,D,20230929,000000,0.13,0.13,0.13,0.13,220,0
WTMAR.US,D,20231006,000000,0.14,0.14,0.14,0.14,420,0
WTMAR.US,D,20231010,000000,0.11,0.11,0.11,0.11,309,0
WTMAR.US,D,20231011,000000,0.11,0.11,0.11,0.11,401,0
WTMAR.US,D,20231012,000000,0.11,0.1201,0.08,0.1,1670765,0
WTMAR.US,D,20231013,000000,0.11,0.11,0.1,0.11,1342,0
WTMAR.US,D,20231017,000000,0.099,0.1,0.0989,0.0989,345,0
WTMAR.US,D,20231020,000000,0.0969,0.1,0.0968,0.1,2000,0
WTMAR.US,D,20231025,000000,0.1,0.1,0.1,0.1,140,0
WTMAR.US,D,20231027,000000,0.08,0.102,0.08,0.102,470,0
WTMAR.US,D,20231101,000000,0.102,0.102,0.1,0.1,564,0
WTMAR.US,D,20231103,000000,0.11,0.11,0.1052,0.1052,373,0
WTMAR.US,D,20231108,000000,0.0999,0.0999,0.09,0.09,2000,0
WTMAR.US,D,20231109,000000,0.0988,0.0988,0.0988,0.0988,103,0
WTMAR.US,D,20231117,000000,0.094,0.1,0.0939,0.1,2000,0
WTMAR.US,D,20231120,000000,0.1,0.1,0.1,0.1,109,0
WTMAR.US,D,20231121,000000,0.094,0.094,0.08,0.08,1000,0
WTMAR.US,D,20231122,000000,0.0878,0.0878,0.0878,0.0878,100,0
