<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XELA.US,D,20150327,000000,118200,118200,117600,117600,41.5745,0
XELA.US,D,20150402,000000,117720,117840,117600,117720,1.38325,0
XELA.US,D,20150410,000000,119400,119400,117840,117840,0.01675,0
XELA.US,D,20150421,000000,118200,118200,116400,118200,31.9725,0
XELA.US,D,20150422,000000,118800,118800,118800,118800,18.33325,0
XELA.US,D,20150427,000000,117600,117600,117600,117600,0.01675,0
XELA.US,D,20150428,000000,118200,118200,117600,117600,62.52425,0
XELA.US,D,20150501,000000,118200,118200,117840,117840,0.03325,0
XELA.US,D,20150504,000000,118080,118200,117960,117960,0.625,0
XELA.US,D,20150505,000000,117960,118680,117720,117720,0.75,0
XELA.US,D,20150506,000000,117960,117960,117960,117960,0.04175,0
XELA.US,D,20150507,000000,117720,117720,117720,117720,0.025,0
XELA.US,D,20150518,000000,117720,117720,117120,117360,25.133,0
XELA.US,D,20150521,000000,117720,117720,117720,117720,0.01675,0
XELA.US,D,20150604,000000,118200,118560,118200,118440,0.125,0
XELA.US,D,20150611,000000,118200,118200,118200,118200,0.00825,0
XELA.US,D,20150612,000000,118080,118200,117960,118080,10.2415,0
XELA.US,D,20150616,000000,118560,119400,118320,118800,41.89125,0
XELA.US,D,20150619,000000,118320,118320,118200,118200,0.41675,0
XELA.US,D,20150624,000000,118800,119280,118800,119280,12.54975,0
XELA.US,D,20150708,000000,118200,119280,117600,118320,46.25775,0
XELA.US,D,20150709,000000,118800,118800,118320,118320,0.01675,0
XELA.US,D,20150710,000000,118800,118800,118320,118320,0.05,0
XELA.US,D,20150713,000000,118200,118800,118200,118200,0.05825,0
XELA.US,D,20150714,000000,118680,118800,118560,118800,2.08325,0
XELA.US,D,20150715,000000,118800,118800,117720,118200,27.48775,0
XELA.US,D,20150716,000000,118440,118680,118200,118200,0.51675,0
XELA.US,D,20150717,000000,118920,118920,118080,118080,0.15825,0
XELA.US,D,20150720,000000,118200,118200,118200,118200,8.33325,0
XELA.US,D,20150730,000000,118440,118440,118440,118440,0.16675,0
XELA.US,D,20150819,000000,117720,118800,117720,118800,0.05,0
XELA.US,D,20150820,000000,117720,119040,117720,119040,0.05825,0
XELA.US,D,20150828,000000,117720,118920,117720,118920,0.125,0
XELA.US,D,20150911,000000,118200,118920,118200,118920,3.13325,0
XELA.US,D,20150923,000000,118920,118920,118920,118920,0.00825,0
XELA.US,D,20151012,000000,152160,152160,117000,118920,0.0415,0
XELA.US,D,20151019,000000,117720,119040,117720,119040,0.01675,0
