<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XFIN.US,D,20211217,000000,9.75,9.75,9.75,9.75,293,0
XFIN.US,D,20211220,000000,9.8,9.8,9.8,9.8,106,0
XFIN.US,D,20211221,000000,9.8131,9.86,9.8131,9.86,10667,0
XFIN.US,D,20211227,000000,9.82,9.86,9.82,9.86,500190,0
XFIN.US,D,20211228,000000,9.855,9.86,9.855,9.855,1427,0
XFIN.US,D,20211230,000000,9.86,9.86,9.86,9.86,1708,0
XFIN.US,D,20220103,000000,9.98,9.98,9.98,9.98,22870,0
XFIN.US,D,20220104,000000,9.85,10.146,9.85,9.996,3121,0
XFIN.US,D,20220105,000000,9.89,9.97,9.8519,9.89,2672,0
XFIN.US,D,20220106,000000,9.89,9.89,9.885,9.89,20288,0
XFIN.US,D,20220107,000000,9.89,10,9.89,10,2725,0
XFIN.US,D,20220110,000000,9.9,9.9,9.87,9.89,20541,0
XFIN.US,D,20220112,000000,9.89,9.91,9.85,9.895,139050,0
XFIN.US,D,20220119,000000,9.87,9.87,9.86,9.86,118956,0
XFIN.US,D,20220120,000000,9.75,9.86,9.75,9.84,26087,0
XFIN.US,D,20220121,000000,9.76,9.81,9.75,9.81,1174,0
XFIN.US,D,20220124,000000,9.82,9.84,9.82,9.84,100505,0
XFIN.US,D,20220125,000000,9.81,9.81,9.81,9.81,504,0
XFIN.US,D,20220127,000000,9.82,9.82,9.815,9.815,300,0
XFIN.US,D,20220131,000000,9.88,9.88,9.88,9.88,636,0
XFIN.US,D,20220201,000000,9.845,9.845,9.84,9.84,400053,0
XFIN.US,D,20220202,000000,9.84,9.84,9.84,9.84,669,0
XFIN.US,D,20220204,000000,9.85,9.85,9.84,9.85,39906,0
XFIN.US,D,20220207,000000,9.88,9.89,9.84,9.89,2631,0
XFIN.US,D,20220209,000000,9.87,9.87,9.87,9.87,100054,0
XFIN.US,D,20220210,000000,9.86,9.86,9.85,9.85,409,0
XFIN.US,D,20220214,000000,9.89,9.95,9.88,9.95,954,0
XFIN.US,D,20220215,000000,9.86,9.86,9.86,9.86,326,0
XFIN.US,D,20220216,000000,9.85,9.89,9.84,9.87,4904,0
XFIN.US,D,20220217,000000,9.86,9.86,9.86,9.86,231,0
XFIN.US,D,20220218,000000,9.84,9.86,9.83,9.86,11010,0
XFIN.US,D,20220222,000000,9.86,9.86,9.85,9.85,34518,0
XFIN.US,D,20220224,000000,9.85,9.85,9.84,9.84,965,0
XFIN.US,D,20220225,000000,9.84,9.88,9.84,9.88,64335,0
XFIN.US,D,20220228,000000,9.87,9.87,9.8674,9.8674,1707,0
XFIN.US,D,20220301,000000,9.86,9.92,9.84,9.84,18492,0
XFIN.US,D,20220307,000000,9.91,9.93,9.91,9.93,11115,0
XFIN.US,D,20220308,000000,9.91,9.91,9.91,9.91,700,0
XFIN.US,D,20220310,000000,9.91,9.91,9.91,9.91,101,0
XFIN.US,D,20220311,000000,9.92,9.92,9.92,9.92,68057,0
XFIN.US,D,20220317,000000,9.92,9.92,9.92,9.92,41310,0
XFIN.US,D,20220322,000000,9.93,9.94,9.92,9.94,602081,0
XFIN.US,D,20220323,000000,9.93,9.93,9.93,9.93,402,0
XFIN.US,D,20220324,000000,9.93,9.93,9.905,9.91,54728,0
XFIN.US,D,20220325,000000,9.91,9.93,9.91,9.92,141400,0
XFIN.US,D,20220328,000000,9.91,9.93,9.91,9.93,2271,0
XFIN.US,D,20220329,000000,9.95,9.95,9.91,9.925,992,0
XFIN.US,D,20220331,000000,9.925,9.97,9.925,9.97,1296,0
XFIN.US,D,20220404,000000,9.95,9.95,9.95,9.95,191,0
XFIN.US,D,20220405,000000,9.94,9.95,9.94,9.945,541027,0
XFIN.US,D,20220406,000000,9.93,9.94,9.93,9.94,62623,0
XFIN.US,D,20220407,000000,9.945,9.945,9.94,9.94,175251,0
XFIN.US,D,20220408,000000,9.93,9.93,9.93,9.93,1588,0
XFIN.US,D,20220411,000000,9.93,9.93,9.93,9.93,422,0
XFIN.US,D,20220412,000000,9.93,9.93,9.93,9.93,5800,0
XFIN.US,D,20220413,000000,9.95,9.96,9.94,9.96,1103,0
XFIN.US,D,20220414,000000,9.96,9.97,9.96,9.97,1224,0
XFIN.US,D,20220420,000000,9.94,9.94,9.94,9.94,100000,0
XFIN.US,D,20220421,000000,9.98,9.98,9.98,9.98,916,0
XFIN.US,D,20220425,000000,10.01,10.01,10.01,10.01,275,0
XFIN.US,D,20220428,000000,9.95,9.95,9.95,9.95,250,0
