<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YY.US,D,20121121,000000,9.6171,10.7624,9.6171,10.3587,4986464.4350585,0
YY.US,D,20121123,000000,10.5973,10.771,10.2583,10.3684,258675.43727089,0
YY.US,D,20121126,000000,10.5344,10.5344,9.90008,10.3491,280918.03506965,0
YY.US,D,20121127,000000,10.4408,11.896,10.2313,11.1737,502624.30518118,0
YY.US,D,20121128,000000,11.2568,12.0438,11.1555,11.9058,808676.19616469,0
YY.US,D,20121129,000000,12.3654,13.134,12.1095,12.2186,582138.04554991,0
YY.US,D,20121130,000000,13.0424,13.334,12.4099,12.9777,426667.68215677,0
YY.US,D,20121203,000000,13.2336,13.7192,13.0549,13.3165,367066.55005995,0
YY.US,D,20121204,000000,13.8216,13.9849,12.4185,12.9873,526664.61934377,0
YY.US,D,20121205,000000,12.8869,13.0974,11.9058,12.0525,392537.99556747,0
YY.US,D,20121206,000000,11.9058,11.9974,11.1737,11.2008,701929.53820613,0
YY.US,D,20121207,000000,11.2182,11.6141,10.9912,11.1555,275417.18868448,0
YY.US,D,20121210,000000,11.1284,11.6498,11.1284,11.3022,276860.74664022,0
YY.US,D,20121211,000000,11.3302,12.2003,11.2665,11.8159,263186.29699486,0
YY.US,D,20121212,000000,12.3374,12.5768,11.9058,11.9878,278276.34472165,0
YY.US,D,20121213,000000,12.0911,12.3654,11.9801,12.1906,161347.11475531,0
YY.US,D,20121214,000000,12.2727,12.5103,12.2727,12.5015,107087.35420493,0
YY.US,D,20121217,000000,12.5392,13.6903,12.4842,13.5097,455887.82192527,0
YY.US,D,20121218,000000,13.7289,13.8767,13.1785,13.4257,288807.89738301,0
YY.US,D,20121219,000000,13.2336,13.5928,12.4185,12.4562,402520.7062514,0
YY.US,D,20121220,000000,12.3654,13.1428,12.3654,13.0877,85905.160528608,0
YY.US,D,20121221,000000,12.7942,12.9409,12.3654,12.7594,75839.605772616,0
YY.US,D,20121224,000000,12.7594,13.0877,12.7217,13.0877,13647.525321936,0
YY.US,D,20121226,000000,13.0877,13.473,12.8222,13.2818,92054.261777691,0
YY.US,D,20121227,000000,12.9236,13.2818,12.5586,12.8134,188292.1491947,0
YY.US,D,20121228,000000,12.7594,13.1939,12.7594,12.8415,111384.89044334,0
YY.US,D,20121231,000000,12.8782,13.0829,12.8222,13.0597,62115.449684019,0
YY.US,D,20130102,000000,13.4093,13.4634,13.0877,13.107,266625.3615365,0
YY.US,D,20130103,000000,13.0066,13.3996,12.8222,13.0424,198348.38399259,0
YY.US,D,20130104,000000,12.9487,13.0424,12.0719,12.3654,286363.99725707,0
YY.US,D,20130107,000000,12.4185,12.8134,12.4185,12.685,117748.35072889,0
YY.US,D,20130108,000000,12.6667,12.7439,12.4099,12.4185,87977.297881154,0
YY.US,D,20130109,000000,12.4842,12.7102,12.1433,12.3094,202811.60837514,0
YY.US,D,20130110,000000,12.3741,12.3741,11.9627,12.1819,144231.52946652,0
YY.US,D,20130111,000000,12.3374,12.602,11.9974,12.602,169921.47621411,0
YY.US,D,20130114,000000,12.6377,12.8038,12.2911,12.6474,250240.87518369,0
YY.US,D,20130115,000000,12.7034,12.7034,12.2997,12.5923,113749.05314992,0
YY.US,D,20130116,000000,12.5199,12.7121,12.4407,12.5015,54416.128736407,0
YY.US,D,20130117,000000,12.3934,12.6744,12.0621,12.1906,141170.44100369,0
YY.US,D,20130118,000000,12.209,12.5672,12.209,12.236,62230.395834011,0
YY.US,D,20130122,000000,12.2544,12.6299,12.2447,12.3654,179657.72578364,0
YY.US,D,20130123,000000,12.3654,12.5103,12.1819,12.1819,85163.70608362,0
YY.US,D,20130124,000000,12.2186,12.4562,12.0351,12.1433,142185.2808865,0
YY.US,D,20130125,000000,12.1008,12.2273,12.0911,12.1336,60960.810429603,0
YY.US,D,20130128,000000,12.1529,12.4099,12.1162,12.2727,127334.4454178,0
YY.US,D,20130129,000000,12.2997,12.4185,12.2997,12.4011,149683.70495935,0
YY.US,D,20130130,000000,12.3654,12.7758,12.3654,12.6474,153173.51149512,0
YY.US,D,20130131,000000,12.685,12.7758,12.6377,12.6667,136369.62702747,0
YY.US,D,20130201,000000,12.7411,12.8222,12.5489,12.7314,266505.237632,0
YY.US,D,20130204,000000,12.6377,13.4634,12.5489,12.602,627832.7645996,0
YY.US,D,20130205,000000,12.5199,12.7758,12.1529,12.3287,199932.77687085,0
YY.US,D,20130206,000000,12.3287,12.5489,12.3287,12.3828,156404.43030569,0
YY.US,D,20130207,000000,12.319,12.8222,12.319,12.7497,187099.19455696,0
YY.US,D,20130208,000000,12.6947,12.9873,12.6928,12.8134,205866.48353256,0
YY.US,D,20130211,000000,12.7594,13.0877,12.7314,12.8782,61527.256772353,0
YY.US,D,20130212,000000,12.8395,13.0974,12.6117,12.9139,117129.0912902,0
YY.US,D,20130213,000000,13.0308,13.0336,12.798,12.8965,29434.498804971,0
YY.US,D,20130214,000000,12.9139,14.1876,12.8318,13.6652,348121.14632941,0
YY.US,D,20130215,000000,13.7386,15.1485,13.6903,14.5719,804905.75533479,0
YY.US,D,20130219,000000,14.8008,15.3696,14.6723,15.2131,571997.93112906,0
YY.US,D,20130220,000000,15.5424,15.6428,14.8925,15.1215,208108.45123284,0
YY.US,D,20130221,000000,14.965,15.6612,14.6723,15.611,250113.50242289,0
YY.US,D,20130222,000000,15.5695,17.4574,15.5695,17.1918,519401.2653254,0
YY.US,D,20130225,000000,17.5771,18.0889,16.4859,17.6293,382266.36618222,0
YY.US,D,20130226,000000,16.8345,17.3202,16.4859,16.624,221131.53936158,0
YY.US,D,20130227,000000,16.3585,16.9523,16.0552,16.1643,184032.92833963,0
YY.US,D,20130228,000000,16.2677,17.3106,16.1518,16.8345,239063.13876021,0
YY.US,D,20130301,000000,16.9166,17.7219,16.9069,17.6032,313624.87472121,0
YY.US,D,20130304,000000,17.805,17.8147,16.8249,17.3473,293832.39035381,0
YY.US,D,20130305,000000,17.3473,17.805,17.0537,17.6119,286870.38164757,0
YY.US,D,20130306,000000,17.7683,19.1328,17.4661,18.2995,504609.45625805,0
YY.US,D,20130307,000000,18.2821,18.2995,16.0281,16.4859,942393.77733516,0
YY.US,D,20130308,000000,17.2188,17.2188,15.4777,15.8814,755966.65531284,0
