<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZAP.US,D,20241223,000000,24.41,24.4965,24.205,24.4965,1151107,0
ZAP.US,D,20241224,000000,24.56,24.665,24.56,24.665,390,0
ZAP.US,D,20241226,000000,24.63,24.6874,24.56,24.6141,75703,0
ZAP.US,D,20241227,000000,24.47,24.47,24.33,24.46,1254,0
ZAP.US,D,20241230,000000,24.2,24.41,24.15,24.3828,100455,0
ZAP.US,D,20241231,000000,24.48,24.5,24.23,24.3138,4808,0
ZAP.US,D,20250102,000000,24.6,24.62,24.5,24.53,10846,0
ZAP.US,D,20250103,000000,24.7095,24.94,24.7095,24.8642,6278,0
ZAP.US,D,20250106,000000,25.05,25.05,24.72,24.76,41150,0
ZAP.US,D,20250107,000000,24.89,24.9,24.6072,24.65,480697,0
ZAP.US,D,20250108,000000,24.65,24.65,24.32,24.63,24116,0
ZAP.US,D,20250110,000000,24.7,24.7,24.327,24.41,7002,0
ZAP.US,D,20250113,000000,24.38,24.38,24,24.2319,37099,0
ZAP.US,D,20250114,000000,24.445,24.5499,24.4132,24.521,255462,0
ZAP.US,D,20250115,000000,24.76,25.04,24.76,24.8373,255612,0
ZAP.US,D,20250116,000000,25.0202,25.45,24.99,25.43,248523,0
ZAP.US,D,20250117,000000,25.51,25.6,25.4467,25.4775,89010,0
ZAP.US,D,20250121,000000,25.89,26.1,25.85,26.05,327140,0
ZAP.US,D,20250122,000000,26.23,26.23,25.73,25.73,90998,0
ZAP.US,D,20250123,000000,25.84,26.05,25.73,25.86,73253,0
ZAP.US,D,20250124,000000,25.93,26.0438,25.855,25.95,75161,0
ZAP.US,D,20250127,000000,25.05,25.1,24.3597,24.67,57199,0
ZAP.US,D,20250128,000000,24.83,24.83,24.22,24.49,813973,0
ZAP.US,D,20250129,000000,24.56,24.8,24.49,24.61,187676,0
ZAP.US,D,20250130,000000,24.9,25.24,24.9,25.2053,19914,0
ZAP.US,D,20250131,000000,25.21,25.26,25,25.05,146892,0
ZAP.US,D,20250203,000000,24.71,25.152,24.5046,25.1,21108,0
ZAP.US,D,20250204,000000,25,25,24.6707,24.9,32145,0
ZAP.US,D,20250205,000000,25.19,25.31,25.04,25.08,21627,0
ZAP.US,D,20250206,000000,25.08,25.16,24.995,25.14,14773,0
ZAP.US,D,20250207,000000,25.33,25.3443,25.1135,25.13,5280,0
ZAP.US,D,20250210,000000,25.25,25.33,25.15,25.33,17804,0
ZAP.US,D,20250211,000000,25.24,25.3372,25.06,25.3372,17457,0
ZAP.US,D,20250212,000000,25.07,25.275,24.87,25.15,37259,0
ZAP.US,D,20250213,000000,25.36,25.36,25.17,25.3,8538,0
