<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZCAR.US,D,20220105,000000,990,990,990,990,100.02,0
ZCAR.US,D,20220106,000000,990,993,990,993,132.5,0
ZCAR.US,D,20220107,000000,993,993,993,993,23.98,0
ZCAR.US,D,20220110,000000,1000,1000,1000,1000,1.22,0
ZCAR.US,D,20220113,000000,1000,1000,991,992,128.42,0
ZCAR.US,D,20220114,000000,993,993,991,991,738.27,0
ZCAR.US,D,20220118,000000,991,991,990,991,8.01,0
ZCAR.US,D,20220119,000000,990,990,990,990,2.49,0
ZCAR.US,D,20220121,000000,991,994,990,994,1487.46,0
ZCAR.US,D,20220124,000000,991,993.5,990,990,600.8,0
ZCAR.US,D,20220125,000000,991,1001,990,1001,1062.04,0
ZCAR.US,D,20220126,000000,990,990,990,990,313.42,0
ZCAR.US,D,20220127,000000,989,993,989,992,547.06,0
ZCAR.US,D,20220128,000000,991,992,989,992,443.55,0
ZCAR.US,D,20220131,000000,990,990,990,990,6.99,0
ZCAR.US,D,20220201,000000,994,996,994,994,243.92,0
ZCAR.US,D,20220202,000000,998,998,993,993,128.62,0
ZCAR.US,D,20220203,000000,993,993,993,993,112.29,0
ZCAR.US,D,20220209,000000,992,992,992,992,1896,0
ZCAR.US,D,20220211,000000,993,994,993,994,96.59,0
ZCAR.US,D,20220214,000000,994,994,993,994,506.96,0
ZCAR.US,D,20220215,000000,994,996,994,996,506,0
ZCAR.US,D,20220217,000000,993.5,995,993,993,2154.14,0
ZCAR.US,D,20220218,000000,994,995,994,995,24.2,0
ZCAR.US,D,20220222,000000,993,993,993,993,1002.09,0
ZCAR.US,D,20220223,000000,993,993,993,993,2278.87,0
ZCAR.US,D,20220224,000000,993,994,993,993,1343.62,0
ZCAR.US,D,20220225,000000,992,992,992,992,4,0
ZCAR.US,D,20220228,000000,994,994,992,993,173.94,0
ZCAR.US,D,20220301,000000,994,995,993,995,31.57,0
ZCAR.US,D,20220303,000000,995,995,993,995,223.56,0
ZCAR.US,D,20220309,000000,994,995,994,994,44.96,0
ZCAR.US,D,20220316,000000,995,995,995,995,20.82,0
ZCAR.US,D,20220317,000000,996,996,996,996,26.1,0
ZCAR.US,D,20220321,000000,995,995,994,995,36.25,0
ZCAR.US,D,20220322,000000,997,997,995,997,85.01,0
ZCAR.US,D,20220325,000000,996,998,996,998,1059.16,0
ZCAR.US,D,20220329,000000,998,998,998,998,28.02,0
ZCAR.US,D,20220330,000000,997.5,998,997.22,998,20.16,0
ZCAR.US,D,20220331,000000,999,1000,997,1000,1183.35,0
ZCAR.US,D,20220401,000000,999,1000,999,1000,86,0
ZCAR.US,D,20220405,000000,1000,1000,1000,1000,37.02,0
ZCAR.US,D,20220406,000000,999,1001,999,1001,13,0
ZCAR.US,D,20220407,000000,1001,1001,1001,1001,7.45,0
ZCAR.US,D,20220408,000000,1001,1001,1001,1001,26.13,0
ZCAR.US,D,20220412,000000,1002,1002,1002,1002,1525.11,0
ZCAR.US,D,20220413,000000,1002,1002,1001,1001,313.24,0
ZCAR.US,D,20220414,000000,1002,1002,1001.5,1001.5,8.24,0
ZCAR.US,D,20220418,000000,1002,1002,1001,1001,36.06,0
ZCAR.US,D,20220419,000000,1002,1002,1002,1002,18.7,0
ZCAR.US,D,20220420,000000,1004,1004,1003,1003,5115.98,0
ZCAR.US,D,20220421,000000,1006,1006,1001,1001,1004.2,0
ZCAR.US,D,20220422,000000,1002,1003,1002,1002,2007.2,0
ZCAR.US,D,20220426,000000,1004,1004,1004,1004,101.28,0
ZCAR.US,D,20220427,000000,1003.5,1005,1002,1005,7.01,0
ZCAR.US,D,20220428,000000,1003,1003,1002,1002.02,155.51,0
ZCAR.US,D,20220429,000000,1004,1004,1002,1002,53.42,0
ZCAR.US,D,20220502,000000,1004.5,1004.5,1004.5,1004.5,47,0
ZCAR.US,D,20220505,000000,1003,1003,1002,1002,86,0
ZCAR.US,D,20220509,000000,1002,1002,1001,1001,461.32,0
ZCAR.US,D,20220511,000000,1001,1001,1001,1001,101.59,0
ZCAR.US,D,20220512,000000,1000,1000,998,998,1000.71,0
