<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZPTAW.US,D,20240402,000000,0.35,0.3655,0.2201,0.2474,344666,0
ZPTAW.US,D,20240403,000000,0.28,0.28,0.1725,0.2,252599,0
ZPTAW.US,D,20240404,000000,0.2388,0.2388,0.17,0.1753,721863,0
ZPTAW.US,D,20240405,000000,0.18,0.194,0.13,0.1378,148989,0
ZPTAW.US,D,20240408,000000,0.15,0.16,0.12,0.122126,70550,0
ZPTAW.US,D,20240409,000000,0.1221,0.16,0.12,0.1597,131588,0
ZPTAW.US,D,20240410,000000,0.14,0.15,0.14,0.14,42868,0
ZPTAW.US,D,20240411,000000,0.145,0.15,0.12,0.1492,34723,0
ZPTAW.US,D,20240412,000000,0.18,0.19,0.15,0.1599,135552,0
ZPTAW.US,D,20240415,000000,0.1555,0.17,0.1555,0.1577,25489,0
ZPTAW.US,D,20240416,000000,0.1578,0.16,0.132,0.1389,43490,0
ZPTAW.US,D,20240417,000000,0.1389,0.1799,0.1388,0.167396,23604,0
ZPTAW.US,D,20240418,000000,0.169,0.169,0.1321,0.16,195380,0
ZPTAW.US,D,20240419,000000,0.141,0.17,0.133,0.1498,15435,0
ZPTAW.US,D,20240422,000000,0.15,0.15,0.138,0.138,7872,0
ZPTAW.US,D,20240423,000000,0.1361,0.14,0.0875,0.125,53167,0
ZPTAW.US,D,20240424,000000,0.13999,0.14,0.0943,0.120183,164372,0
ZPTAW.US,D,20240425,000000,0.1075,0.1199,0.1,0.1099,19603,0
ZPTAW.US,D,20240426,000000,0.1184,0.1275,0.1,0.1275,6677,0
ZPTAW.US,D,20240429,000000,0.1185,0.1185,0.1,0.1099,3552,0
ZPTAW.US,D,20240430,000000,0.1,0.1275,0.09,0.109,60481,0
ZPTAW.US,D,20240501,000000,0.1014,0.136,0.1014,0.1245,29269,0
ZPTAW.US,D,20240502,000000,0.1201,0.134951,0.12,0.12,13492,0
ZPTAW.US,D,20240503,000000,0.12,0.1399,0.12,0.1399,14494,0
ZPTAW.US,D,20240506,000000,0.13,0.13,0.1025,0.1207,23193,0
ZPTAW.US,D,20240507,000000,0.1206,0.13,0.115,0.1211,22288,0
